Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1950,2.455,3.925,6.375,9.3,12.53,15.16,17.405,16.865,14.3,10.225,6.09,3.76
1951,1.825,3.89,6.295,9.215,12.395,15.205,17.395,16.91,14.29,10.18,6.065,3.93
1952,1.865,3.865,6.095,9.19,12.395,15.27,17.435,16.885,14.285,10.15,6.03,3.76
1953,1.86,3.89,6.06,9.175,12.37,15.18,17.45,16.91,14.32,10.205,5.97,3.85
1954,2.095,3.945,6.075,9.17,12.41,15.12,17.465,16.94,14.335,10.23,6.085,3.94
1955,2.005,4.005,5.985,9.09,12.415,15.04,17.36,16.895,14.33,10.185,6.235,3.985
1956,2.085,3.95,5.86,9.005,12.315,14.99,17.275,16.855,14.3,10.155,6.065,3.89
1957,2.13,3.835,5.805,9.04,12.385,14.94,17.325,16.895,14.275,10.115,6.01,3.895
1958,1.975,3.76,5.84,9.08,12.49,14.985,17.28,16.895,14.36,10.11,6.005,3.98
1959,2.16,3.93,5.89,9.105,12.61,15.12,17.425,16.98,14.37,10.115,5.98,4.035
1960,2.23,3.935,5.91,9.105,12.595,15.15,17.46,16.95,14.34,10.125,5.945,4.045
1961,2.25,3.98,5.91,9.14,12.565,15.15,17.51,16.94,14.305,10.165,5.97,4.05
1962,2.355,4.075,5.985,9.145,12.575,15.215,17.56,17.02,14.28,10.11,5.935,4.035
1963,2.375,4.125,5.94,9.17,12.53,15.22,17.54,17.005,14.29,10.15,6.005,4.08
1964,2.31,4.225,5.935,9.165,12.535,15.205,17.49,17.025,14.355,10.195,6.015,4.09
1965,2.39,4.225,5.93,9.12,12.48,15.18,17.44,16.995,14.31,10.175,5.97,3.97
1966,2.38,4.235,5.88,9.115,12.415,15.17,17.44,17,14.26,10.195,6.015,3.94
1967,2.395,4.235,5.89,9.095,12.38,15.125,17.395,17.01,14.285,10.18,6.03,4.005
1968,2.675,4.34,5.82,9.06,12.41,15.175,17.405,17.12,14.345,10.185,6.04,4.005
1969,2.685,4.395,5.87,9.035,12.43,15.165,17.425,17.135,14.305,10.175,6.115,3.93
1970,2.435,4.42,5.885,9.02,12.45,15.28,17.445,17.08,14.315,10.17,6.03,3.875
1971,2.39,4.415,5.83,8.925,12.38,15.285,17.44,17.05,14.21,10.06,6.05,3.8
1972,2.28,4.36,5.695,8.845,12.365,15.22,17.39,17.09,14.19,10.005,6.02,3.68
1973,2.205,4.33,5.725,8.745,12.365,15.215,17.33,17.065,14.135,9.89,6.05,3.575
1974,2.3,4.335,5.755,8.705,12.385,15.19,17.31,17.025,14.14,9.855,5.96,3.655
1975,2.25,4.345,5.77,8.675,12.33,15.16,17.245,17.035,14.15,9.83,5.92,3.74
1976,2.17,4.26,5.745,8.645,12.275,15.145,17.265,16.995,14.18,9.805,5.935,3.715
1977,2.175,4.24,5.68,8.65,12.205,15.105,17.255,16.97,14.195,9.86,6.005,3.795
1978,2.235,4.305,5.645,8.63,12.125,15.09,17.225,17.03,14.16,9.825,6.015,3.74
1979,2.235,4.405,5.705,8.675,12.13,15.085,17.265,17.065,14.17,9.865,5.975,3.77
1980,2.29,4.5,5.74,8.67,12.13,15.105,17.31,17.1,14.195,9.935,5.84,3.89
1981,2.515,4.57,5.755,8.735,12.18,15.05,17.285,17.065,14.185,9.975,5.885,3.855
1982,2.61,4.63,5.905,8.725,12.18,14.97,17.25,17.135,14.205,9.965,5.955,3.935
1983,2.62,4.63,5.9,8.685,12.185,15.07,17.23,17.125,14.2,9.935,5.92,3.895
1984,2.635,4.68,5.96,8.685,12.21,15.105,17.19,17.135,14.165,9.89,5.905,3.735
1985,2.76,4.71,6.075,8.72,12.165,15.14,17.245,17.175,14.15,9.875,5.815,3.6
1986,2.69,4.725,6.13,8.755,12.22,15.165,17.36,17.205,14.125,9.875,5.72,3.585
1987,2.795,4.795,6.23,8.705,12.185,15.22,17.29,17.24,14.145,9.92,5.755,3.605
1988,2.975,4.935,6.275,8.715,12.13,15.225,17.33,17.265,14.14,9.95,5.84,3.535
1989,2.895,4.865,6.275,8.715,12.035,15.13,17.23,17.235,14.135,9.985,5.89,3.52
1990,2.88,4.765,6.255,8.76,12.055,15.14,17.205,17.255,14.19,9.99,5.945,3.54
1991,2.94,4.665,6.275,8.77,12.075,15.15,17.21,17.34,14.275,9.95,5.965,3.435
1992,2.83,4.685,6.195,8.75,12.065,15.07,17.175,17.3,14.315,9.96,6.03,3.49
1993,2.93,4.73,6.315,8.775,12.135,15.135,17.215,17.345,14.29,9.965,5.985,3.375
1994,2.89,4.615,6.36,8.81,12.2,15.165,17.22,17.345,14.245,9.965,5.925,3.38
1995,2.95,4.595,6.41,8.905,12.29,15.18,17.305,17.415,14.335,9.985,5.93,3.5
1996,3.03,4.625,6.495,8.92,12.41,15.24,17.335,17.39,14.45,9.965,5.96,3.555
1997,3.03,4.62,6.515,8.99,12.42,15.28,17.41,17.43,14.405,9.97,5.905,3.405
1998,3.01,4.615,6.55,9.05,12.48,15.245,17.41,17.43,14.415,9.955,5.93,3.435
1999,3.035,4.67,6.555,9.09,12.51,15.29,17.46,17.52,14.495,9.99,5.965,3.515
2000,3.295,4.755,6.575,9.095,12.45,15.2,17.445,17.605,14.515,9.985,6.01,3.5
2001,3.31,4.745,6.6,9.16,12.455,15.185,17.455,17.625,14.59,10.045,6.025,3.52
2002,3.41,4.74,6.675,9.175,12.47,15.22,17.45,17.595,14.65,10.08,6.065,3.635
2003,3.525,4.77,6.59,9.235,12.435,15.285,17.485,17.595,14.74,10.14,6.12,3.755
2004,3.665,4.765,6.62,9.26,12.455,15.365,17.565,17.695,14.77,10.205,6.13,3.725
2005,3.715,4.805,6.69,9.335,12.575,15.46,17.7,17.76,14.73,10.22,6.145,3.725
2006,3.755,4.86,6.795,9.43,12.665,15.5,17.7,17.865,14.75,10.28,6.145,3.775
2007,3.82,4.86,6.87,9.445,12.71,15.6,17.76,17.92,14.76,10.275,6.135,3.745
2008,3.85,4.835,6.915,9.425,12.755,15.6,17.835,17.89,14.795,10.28,6.165,3.75
2009,3.825,4.83,6.865,9.375,12.79,15.535,17.82,17.905,14.825,10.265,6.3,3.72
2010,3.89,4.835,6.79,9.38,12.785,15.61,17.88,17.915,14.83,10.25,6.375,3.595
2011,4.115,4.885,6.86,9.365,12.78,15.635,17.93,17.98,14.88,10.27,6.315,3.59
2012,4.075,4.825,6.825,9.32,12.74,15.68,17.935,17.96,14.925,10.29,6.23,3.59
2013,4.125,4.845,6.83,9.385,12.74,15.6,17.96,18.035,14.95,10.3,6.33,3.6
2014,4.01,4.815,6.795,9.39,12.73,15.635,18.015,18.06,15.02,10.285,6.28,3.655
2015,4.01,4.69,6.765,9.43,12.82,15.67,18.07,18.115,15.09,10.43,6.275,3.795
2016,4.15,4.83,6.87,9.455,12.905,15.77,18.075,18.165,15.12,10.505,6.44,3.91
2017,4.105,4.95,6.885,9.575,12.965,15.78,18.145,18.155,15.11,10.51,6.54,3.79
2018,4.02,4.83,6.845,9.55,12.96,15.765,18.17,18.19,15.12,10.475,6.49,3.75
2019,4.08,4.755,6.82,9.54,13.04,15.795,18.22,18.215,15.12,10.425,6.505,3.755
2020,4.13,4.74,6.83,9.51,13.085,15.81,18.255,18.26,15.13,10.365,6.475,3.77
2021,4.14,4.83,6.79,9.475,13.12,15.82,18.215,18.225,15.14,10.38,6.46,3.92
2022,4.26,4.71,,,,,,,,,,
